epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4032,1.05392,4.85833,1.16741,0.55692,0.04133,0.02848,0.02335,1.08955,4.2746,1.17656,5.2197e-05,5.2197e-05,5.2197e-05
2,188.773,0.99297,3.53179,1.13923,0.37002,0.13267,0.0758,0.06339,1.06111,3.16275,1.12109,0.000103114,0.000103114,0.000103114
3,276.494,0.97958,3.15535,1.13202,0.45475,0.1146,0.10674,0.08593,1.09674,2.88027,1.16659,0.000151932,0.000151932,0.000151932
4,364.673,0.9819,2.76053,1.10767,0.36474,0.13445,0.0956,0.07335,1.13968,2.91384,1.18216,0.000149555,0.000149555,0.000149555
5,451.96,0.95075,2.6831,1.09796,0.33652,0.17945,0.11708,0.09671,1.12601,2.79124,1.1754,0.000146407,0.000146407,0.000146407
6,540.292,0.94051,2.49424,1.10119,0.36791,0.1585,0.10553,0.0816,1.12747,2.73527,1.19753,0.000143259,0.000143259,0.000143259
7,625.257,0.89374,2.2177,1.07449,0.30636,0.1939,0.11739,0.0941,1.12202,2.80305,1.1712,0.000140111,0.000140111,0.000140111
8,711.745,0.89606,2.13044,1.06872,0.3876,0.15748,0.13615,0.10623,1.11612,2.66289,1.18884,0.000136963,0.000136963,0.000136963
9,799.44,0.90141,2.03679,1.06544,0.37442,0.17146,0.134,0.10638,1.12364,2.73775,1.16997,0.000133814,0.000133814,0.000133814
10,884.012,0.85962,1.83738,1.05146,0.48225,0.14081,0.13455,0.10539,1.11363,2.69295,1.16826,0.000130666,0.000130666,0.000130666
11,971.858,0.85381,1.75491,1.04069,0.3307,0.1772,0.1356,0.10811,1.17384,2.7009,1.19651,0.000127518,0.000127518,0.000127518
12,1057.43,0.82602,1.63516,1.01833,0.41511,0.14606,0.13915,0.11528,1.10412,2.67965,1.17746,0.00012437,0.00012437,0.00012437
13,1144.9,0.82319,1.57091,1.02042,0.46134,0.1519,0.14064,0.1145,1.12413,2.82525,1.19583,0.000121222,0.000121222,0.000121222
14,1232.67,0.80466,1.5443,1.02671,0.31924,0.18532,0.14838,0.11662,1.13781,2.76674,1.17955,0.000118073,0.000118073,0.000118073
15,1320.31,0.81441,1.42586,1.00815,0.34822,0.16708,0.14553,0.11913,1.09357,2.71528,1.16858,0.000114925,0.000114925,0.000114925
16,1407.77,0.80396,1.34736,1.0105,0.50264,0.13146,0.15057,0.11922,1.15637,2.75486,1.21453,0.000111777,0.000111777,0.000111777
17,1494.63,0.75066,1.25703,0.97676,0.47307,0.16824,0.14202,0.11168,1.13609,2.79574,1.18612,0.000108629,0.000108629,0.000108629
18,1582.76,0.76806,1.23367,0.99652,0.30834,0.15536,0.13165,0.1036,1.13553,2.76661,1.18538,0.000105481,0.000105481,0.000105481
19,1670.81,0.77811,1.2294,0.99147,0.47382,0.15929,0.15709,0.12608,1.11311,2.72856,1.17649,0.000102332,0.000102332,0.000102332
20,1757.73,0.7762,1.20815,1.00909,0.509,0.1464,0.15237,0.12229,1.10214,2.81286,1.16924,9.91842e-05,9.91842e-05,9.91842e-05
21,1844.22,0.71807,1.09456,0.96387,0.37701,0.1563,0.1554,0.12561,1.12265,2.85888,1.19609,9.6036e-05,9.6036e-05,9.6036e-05
22,1931.63,0.72966,1.0585,0.97766,0.47092,0.15906,0.1373,0.10905,1.12333,2.81198,1.2004,9.28878e-05,9.28878e-05,9.28878e-05
23,2019.32,0.69801,1.00384,0.95461,0.34136,0.17847,0.14892,0.11808,1.10419,2.74471,1.18574,8.97396e-05,8.97396e-05,8.97396e-05
24,2105.74,0.69504,0.99112,0.95983,0.39007,0.18021,0.14869,0.122,1.14703,2.8238,1.20752,8.65914e-05,8.65914e-05,8.65914e-05
25,2190.96,0.66552,0.92747,0.95066,0.44479,0.14497,0.15159,0.12151,1.1533,2.80329,1.21253,8.34432e-05,8.34432e-05,8.34432e-05
26,2278.42,0.69114,0.94139,0.95289,0.37705,0.1612,0.13754,0.11288,1.13776,2.81309,1.19637,8.0295e-05,8.0295e-05,8.0295e-05
27,2365.14,0.68576,0.95582,0.94528,0.44703,0.16038,0.14935,0.11959,1.11413,2.74949,1.20508,7.71468e-05,7.71468e-05,7.71468e-05
